TYPE  | YEAR | TITLE                                                          | FRANCHISE     | BY                     | TAG                      | LINK
film  | 1995 | Jumanji                                                        | --            | --                     | --                       | --
film  | 1995 | Lumière & Company                                              | --            | --                     | --                       | --
film  | 1995 | Mortal Kombat                                                  | --            | --                     | --                       | --
film  | 1995 | Se7en                                                          | --            | --                     | --                       | --
film  | 1995 | Species                                                        | --            | --                     | --                       | --
film  | 1995 | The City of Lost Children                                      | --            | --                     | --                       | --
film  | 1995 | The Indian in the Cupboard                                     | --            | --                     | --                       | --
film  | 1995 | The Prophecy                                                   | --            | --                     | --                       | --
film  | 1995 | The Usual Suspects                                             | --            | Bryan Singer           | crime thriller           | --
film  | 1995 | To Wong Foo, Thanks for Everything! Julie Newmar               | --            | --                     | --                       | --
film  | 1995 | Village of the Damned                                          | --            | John Carpenter         | --                       | --
film  | 1996 | DragonHeart                                                    | --            | --                     | --                       | --
film  | 1996 | Escape from L.A.                                               | --            | --                     | --                       | --
film  | 1996 | Fargo                                                          | --            | --                     | --                       | --
film  | 1996 | From Dusk Till Dawn                                            | --            | --                     | --                       | --
film  | 1996 | Harriet the Spy                                                | --            | --                     | --                       | --
film  | 1996 | Homeward Bound II: Lost in San Francisco                       | --            | --                     | --                       | --
film  | 1996 | Independence Day                                               | --            | --                     | --                       | --
film  | 1996 | James and the Giant Peach                                      | --            | --                     | --                       | --
film  | 1996 | Kazaam                                                         | --            | --                     | --                       | --
film  | 1996 | Lawnmower Man 2: Beyond Cyberspace                             | --            | --                     | --                       | --
film  | 1996 | Matilda                                                        | --            | --                     | --                       | --
film  | 1996 | Mission Impossible                                             | MI            | --                     | spy action               | --
film  | 1996 | Muppet Treasure Island                                         | --            | --                     | --                       | --
film  | 1996 | Sling Blade                                                    | --            | --                     | --                       | --
film  | 1996 | Space Jam                                                      | --            | --                     | --                       | --
film  | 1996 | The Birdcage                                                   | --            | --                     | --                       | --
film  | 1996 | The Hunchback of Notre Dame                                    | --            | --                     | --                       | --
film  | 1996 | The Quest                                                      | --            | --                     | --                       | --
film  | 1996 | The Rock                                                       | --            | --                     | --                       | --
film  | 1996 | Tremors 2: Aftershocks                                         | --            | --                     | --                       | --
film  | 1996 | Twister                                                        | --            | --                     | --                       | --
film  | 1996 | When We Were Kings                                             | --            | --                     | --                       | --
film  | 1997 | Alien Resurrection                                             | --            | --                     | --                       | --
film  | 1997 | Conspiracy Theory                                              | --            | --                     | political thriller       | --
film  | 1997 | Contact                                                        | --            | --                     | --                       | --
film  | 1997 | Cube                                                           | --            | --                     | --                       | --
film  | 1997 | Flubber                                                        | --            | --                     | --                       | --
film  | 1997 | Gattaca                                                        | --            | Andrew Niccol          | scifi thriller           | --
film  | 1997 | George of the Jungle                                           | --            | --                     | --                       | --
film  | 1997 | Good Burger                                                    | --            | --                     | --                       | --
film  | 1997 | Good Will Hunting                                              | --            | --                     | --                       | --
film  | 1997 | Honey, We Shrunk Ourselves                                     | --            | --                     | --                       | --
film  | 1997 | Insomnia                                                       | --            | --                     | --                       | --
film  | 1997 | Mortal Kombat: Annihilation                                    | --            | --                     | --                       | --
film  | 1997 | MouseHunt                                                      | --            | --                     | --                       | --
film  | 1997 | Spawn                                                          | --            | --                     | --                       | --
film  | 1997 | Starship Troopers                                              | --            | --                     | --                       | --
film  | 1997 | The Borrowers                                                  | --            | --                     | --                       | --
film  | 1997 | The Fifth Element                                              | --            | --                     | --                       | --
film  | 1997 | The Jackal                                                     | --            | --                     | --                       | --
film  | 1997 | Titanic                                                        | --            | --                     | --                       | --
film  | 1998 | Armageddon                                                     | --            | --                     | --                       | --
film  | 1998 | Fear and Loathing in Las Vegas                                 | --            | Terry Gillam           | --                       | --
film  | 1998 | Lost in Space                                                  | --            | --                     | --                       | --
film  | 1998 | Mercury Rising                                                 | --            | --                     | --                       | --
film  | 1998 | Pleasantville                                                  | --            | --                     | --                       | --
film  | 1998 | Small Soldiers                                                 | --            | --                     | --                       | --
film  | 1998 | The Big Lebowski                                               | --            | --                     | --                       | --
film  | 1998 | The Faculty                                                    | --            | --                     | --                       | --
film  | 1998 | The Parent Trap                                                | --            | --                     | --                       | --
film  | 1998 | Vampires                                                       | --            | John Carpenter         | --                       | --
film  | 1999 | Bicentennial Man                                               | --            | --                     | --                       | --
film  | 1999 | End of Days                                                    | --            | --                     | --                       | --
film  | 1999 | eXistenZ                                                       | --            | --                     | --                       | --
film  | 1999 | Eyes Wide Shut                                                 | --            | --                     | --                       | --
film  | 1999 | Fight Club                                                     | --            | --                     | --                       | --
film  | 1999 | Inspector Gadget                                               | --            | --                     | --                       | --
film  | 1999 | October Sky                                                    | --            | --                     | --                       | --
film  | 1999 | Sleepy Hollow                                                  | --            | --                     | --                       | --
film  | 1999 | Star Wars: Episode I - The Phantom Menace                      | --            | --                     | --                       | --
film  | 1999 | Stuart Little                                                  | --            | --                     | --                       | --
film  | 1999 | The Boondock Saints                                            | --            | --                     | --                       | --
film  | 1999 | The Green Mile                                                 | --            | --                     | --                       | --
film  | 1999 | The Mummy                                                      | --            | --                     | --                       | --
film  | 1999 | Toy Story 2                                                    | --            | --                     | --                       | --
film  | 1999 | Wild Wild West                                                 | --            | --                     | --                       | --
film  | 2000 | Battlefield Earth                                              | --            | --                     | --                       | --
film  | 2000 | Dracula 2000                                                   | --            | --                     | --                       | --
film  | 2000 | How the Grinch Stole Christmas                                 | --            | --                     | --                       | --
film  | 2000 | Memento                                                        | --            | --                     | --                       | --
film  | 2000 | Mission Impossible 2                                           | MI            | --                     | spy action               | --
film  | 2000 | O Brother, Where Art Thou?                                     | --            | --                     | --                       | --
film  | 2000 | Remember the Titans                                            | --            | --                     | --                       | --
film  | 2000 | Romeo Must Die                                                 | --            | --                     | --                       | --
film  | 2000 | Supernova                                                      | --            | --                     | --                       | --
film  | 2000 | The 6th Day                                                    | --            | --                     | --                       | --
film  | 2000 | The Cell                                                       | --            | --                     | --                       | --
film  | 2000 | The Road to El Dorado                                          | --            | --                     | --                       | --
film  | 2000 | Titan A.E.                                                     | --            | --                     | --                       | --
film  | 2000 | Unbreakable                                                    | --            | --                     | --                       | --
