DATE       | DESCRIPTION
2025-11-03 | ICE detains U.S. citizen for 7 hours after she photographed agents in Oregon - OregonLive
2025-11-03 | Indigenous actor Elaine Miles says ICE called her tribal ID 'fake' - The Seattle Times
2025-11-04 | Allston Car Wash employees still in federal custody after ICE raid - Boston.com
2025-11-04 | Father separated from toddler in immigration raid is released
2025-11-04 | Iowa family calls to halt man's deportation at Miller-Meeks town hall - Des Moines Register
2025-11-04 | Toddler among 6 taken by immigration agents in Cypress Park
2025-11-05 | ICE detains local mother and store owner ABC KEZI9 News
2025-11-05 | Yo tengo papeles': Teacher detained by immigration agents in North Center day care - Chicago Sun Times
2025-11-06 | Man appears to have a seizure as ICE arrests his wife, but U.S. officials push back - NBC10 Boston
2025-11-08 | 1-year-old pepper-sprayed by federal agent in Cicero: 'My daughter didn't have to go through this' - Chicago Sun-Times
2025-11-09 | ICE agent points gun at woman accused of recording him, Fullerton police say - ABC7 Los Angeles
2025-11-10 | Off-Duty Agent Arrested After Holding US Citizen at Gunpoint - Newsweek
2025-11-10 | Tear gas deployed to home during ICE arrest, attorney says WREG Memphis
2025-11-10 | Temecula CA Off Duty Detention Of Minor At Gunpoint
2025-11-11 | Son films as father is detained by masked ICE agents in Northfield - CBS News
2025-11-11 | Trump administration 'inadvertently' deported transgender woman to Mexico despite judge's concern she may face torture there - CNN
2025-11-12 | Immigration Feds Rip Man From Car In Manhattan: Video Washington Heights, NY Patch
2025-11-12 | Immokalee FL Bus Farmworker Detentions
2025-11-13 | Elmhurst Queens apartment entry
2025-11-13 | Woman who group says had apartment raided by ICE speaks out - NY1
2025-11-14 | Folks aren't coming back out.': Immigrants are increasingly being detained at Dallas ICE office - KERA News
2025-11-14 | Senator Murray condemns 'horrific' ICE Dog attack on Vancouver father - Lynnwood Times
2025-11-15 | Border Patrol Fans Out Across Charlotte, N.C., Arresting More Than 130 People in Two Days The New York Times
2025-11-15 | Charlotte NC Laundromat Abduction
2025-11-15 | Church members flee as federal agents arrive at east Charlotte place of worship The Charlotte Observer
2025-11-15 | U.S. Border Patrol Launches Operation in Charlotte The New York Times
2025-11-16 | Charges against NC ICE protester not true, her lawyer says Charlotte Observer
2025-11-16 | Video from North Side raid shows FBI arresting more than 150 people, destroying surveillance camera - KSAT
2025-11-16 | Video shows ICE agents planned to "smash" into Charlotte man Charlotte Observer
2025-11-17 | Border Patrol breaks car window, arrest U.S. citizens -- Spectrum News 1
2025-11-17 | Charlotte man says Border Patrol agents injured him as he drove for groceries - The News & Observer
2025-11-17 | Charlotte NC Refusal To Pull Over Confrontation
2025-11-17 | ICE detains Diabetic Norwegian Woman at Green Card Interview - Newsweek
2025-11-18 | Broadview IL Alleged Cooperation Dispute
