DATE       | LINK_SLUG   |                                            | TOPIC               | DESCRIPTION
---------- | UaQAkVbPKbI | http://youtube.com/watch?v=UaQAkVbPKbI | --                  | Triarc TSR-15S Pistol/SBR
---------- | tlZdF5Y7KPw | http://youtube.com/watch?v=tlZdF5Y7KPw | --                  | The M45A1 (Ft. Johnny Cash)
---------- | 0nRWqKC5bqQ | http://youtube.com/watch?v=0nRWqKC5bqQ | --                  | Winchester 1897 Trench Shotgun
---------- | qzf_wT7hY44 | http://youtube.com/watch?v=qzf_wT7hY44 | --                  | Lead poisoning from shooting
---------- | xzFQGKs22Wg | http://youtube.com/watch?v=xzFQGKs22Wg | --                  | The Kriss Vector
---------- | 81hh5RYUuJA | http://youtube.com/watch?v=81hh5RYUuJA | --                  | Spiritus Systems LV-119 Overt Plate Carrier Overview
---------- | 8ppOlhswG8o | http://youtube.com/watch?v=8ppOlhswG8o | --                  | Budget Optic Torture Test (Primary Arms Raptor 1-6x)
---------- | 6zBpO7PqxuA | http://youtube.com/watch?v=6zBpO7PqxuA | --                  | CZ Scorpion EVO 3 S1
---------- | E_jXA-yoC2k | http://youtube.com/watch?v=E_jXA-yoC2k | --                  | JP GMR-15, the fastest 9mm Rifle around?
---------- | 5wccVL9FItg | http://youtube.com/watch?v=5wccVL9FItg | --                  | The FN Five-seveN
---------- | VZ9DZtQiLQw | http://youtube.com/watch?v=VZ9DZtQiLQw | --                  | Best value 9mm PCC? Stribog from Grand Power
---------- | oZ9U4Rpfn8g | http://youtube.com/watch?v=oZ9U4Rpfn8g | --                  | Combat Shirt Comparison 2019 (Arc'Teryx, Crye, Patagonia, First Spear, Beyond Clothing)
---------- | dvT8T7rtekY | http://youtube.com/watch?v=dvT8T7rtekY | --                  | Civillian Legal G36C, the T36C from Tommy Built
---------- | 9U46D79v5RE | http://youtube.com/watch?v=9U46D79v5RE | --                  | The M2 Carbine |
---------- | gYkMrlbXOm0 | http://youtube.com/watch?v=gYkMrlbXOm0 | --                  | FN P90
---------- | GZxC07B2jYY | http://youtube.com/watch?v=GZxC07B2jYY | --                  | 13.7" Do it all AR15 (Sons of Liberty Gun works AR15)
---------- | gvLPl20eY4M | http://youtube.com/watch?v=gvLPl20eY4M | --                  | Ferro Concepts Advanced Slickster (RE Factor) Initial Review
---------- | 9hgQVk-EpVM | http://youtube.com/watch?v=9hgQVk-EpVM | --                  | Demonetization  and win a chance to shoot and film with me!
---------- | 9UbAgtI7CCI | http://youtube.com/watch?v=9UbAgtI7CCI | --                  | Thompson Submachine Gun M1A1
---------- | hq2Jzn6qCHQ | http://youtube.com/watch?v=hq2Jzn6qCHQ | --                  | Desert Tech MDR UPDATED VIDEO (Halo Battle Rifle? Probably)
---------- | eK0NYCGru-I | http://youtube.com/watch?v=eK0NYCGru-I | --                  | Gun Control
---------- | VUOrvUe1O3Q | http://youtube.com/watch?v=VUOrvUe1O3Q | --                  | Why the MP5 is the best submachinegun / pistol caliber carbine
---------- | Jb2Us5Lqr1s | http://youtube.com/watch?v=Jb2Us5Lqr1s | --                  | The best AK ever built? The Rifle Dynamics 704M
---------- | 8GX2CaiWaSk | http://youtube.com/watch?v=8GX2CaiWaSk | --                  | Marlin 1894 CST upgrade w/ Midwest Industries Handguard
---------- | -p-8gBpYX0Q | http://youtube.com/watch?v=-p-8gBpYX0Q | --                  | Kahles 1-6x K16i (The best Lower Power Variable Optic?)
---------- | 5yWQmJnR6LI | http://youtube.com/watch?v=5yWQmJnR6LI | --                  | The LMT M4 (Ambidextrous, improved reliability M4)
---------- | HhJONVtpUI8 | http://youtube.com/watch?v=HhJONVtpUI8 | --                  | The PKM (the worlds best machine gun?)
---------- | B7yS8hK6vlE | http://youtube.com/watch?v=B7yS8hK6vlE | --                  | The Fix, lightweight precision bolt gun
---------- | xWiEOFfgdS4 | http://youtube.com/watch?v=xWiEOFfgdS4 | --                  | Best weapon light ever? Cloud Defensive OWL (Weapon light comparison)
---------- | _jyy5QqkDJo | http://youtube.com/watch?v=_jyy5QqkDJo | --                  | The AKM (the most common assault rifle in the world)
---------- | xEbMy_YX9vg | http://youtube.com/watch?v=xEbMy_YX9vg | --                  | "If you've ever..." compilation (Garand Thumb)
---------- | GHBZTBOke1s | http://youtube.com/watch?v=GHBZTBOke1s | --                  | The MP5SD
---------- | 5hCDlraRPkw | http://youtube.com/watch?v=5hCDlraRPkw | --                  | Spec Ops Workhorse: M4A1 SOPMOD Block II
