 _ | film  | 1979 | The Warriors                                                   | --
 x | film  | 1988 | Die Hard                                                       | --
 x | film  | 1988 | Hell Comes to Frogtown                                         | --
 x | film  | 1988 | Killer Klowns from Outer Space                                 | --
 x | film  | 1988 | Naked Gun                                                      | --
 x | film  | 1988 | On the Silver Globe                                            | ♥ ★★★★★ Totally cool.
 x | film  | 1988 | They Live                                                      | --
 x | film  | 1988 | Who Framed Roger Rabbit                                        | ♥
 x | film  | 1989 | Back to the Future Part II                                     | --
 x | film  | 1989 | Batman                                                         | ★★ very flat, no good reviews
 x | film  | 1989 | Ghostbusters II                                                | --
 x | film  | 1989 | Honey, I Shrunk the Kids                                       | --
 x | film  | 1989 | Indiana Jones and the Last Crusade                             | --
 x | film  | 1989 | Moontrap                                                       | ★★ I need to know if instant igloos are real. The soundtrack sounds like that garage band meme.
 x | film  | 1989 | National Lampoon's Christmas Vacation                          | --
 x | film  | 1989 | Robot Jox                                                      | --
 x | film  | 1989 | The 'Burbs                                                     | ♥ ★★★★ every group chat is like this
 x | film  | 1989 | The Karate Kid Part III                                        | --
 x | film  | 1989 | Twin Peaks                                                     | ♥
 x | film  | 1990 | Edward Scissorhands                                            | --
 x | film  | 1990 | GoodFellas                                                     | ♥
 x | film  | 1990 | Home Alone                                                     | --
 x | film  | 1990 | Lionheart                                                      | --
 x | film  | 1990 | Nightbreed                                                     | --
 x | film  | 1990 | Predator 2                                                     | --
 x | film  | 1990 | RoboCop 2                                                      | --
 x | film  | 1990 | The Godfather Part III                                         | --
 x | film  | 1990 | The Hunt for Red October                                       | --
 x | film  | 1991 | Boyz n the Hood                                                | --
 x | film  | 1991 | Hook                                                           | --
 x | film  | 1991 | Once Upon a Time in China                                      | --
 x | film  | 1991 | Robin Hood: Prince of Thieves                                  | --
 x | film  | 1991 | Terminator 2: Judgment Day                                     | ♥
 x | film  | 1992 | Alien³                                                         | ♥
 x | film  | 1992 | Army of Darkness                                               | --
 x | film  | 1992 | Batman Returns                                                 | ★★★ clowns again! i don't like it but i'm the only one allowed to not like it
 x | film  | 1992 | Bram Stoker's Dracula                                          | --
 x | film  | 1992 | Cool World                                                     | --
 x | film  | 1992 | Fortress                                                       | ♥ ★★★ This is a good movie to watch if you want to see a man fight a self-driving truck.
 x | film  | 1992 | Hero                                                           | --
 x | film  | 1992 | Juice                                                          | --
 x | film  | 1992 | Once Upon a Time in China II                                   | --
 x | film  | 1992 | Reservoir Dogs                                                 | ♥
 x | film  | 1992 | Split Second                                                   | ♥ ★★ Everybody in this movie is disgusting, but Rutger Hauer shows his police badge to a dog that barked at him and it's pretty funny.
 x | film  | 1992 | Tetsuo II: Body Hammer                                         | --
 x | film  | 1992 | The Last of the Mohicans                                       | --
 x | film  | 1992 | The Lost World                                                 | ★★ Don't pay anything for this.
 x | film  | 1992 | The Muppet Christmas Carol                                     | --
 x | film  | 1992 | Twin Peaks: Fire Walk with Me                                  | --
 x | film  | 1992 | Unforgiven                                                     | --
 x | film  | 1992 | Universal Soldier                                              | --
 x | film  | 1993 | Hard Target                                                    | --
 x | film  | 1993 | Hocus Pocus                                                    | --
 x | film  | 1993 | Homeward Bound: The Incredible Journey                         | ♥
 x | film  | 1993 | Jason Goes to Hell: The Final Friday                           | --
 x | film  | 1993 | Jurassic Park                                                  | ♥
 x | film  | 1993 | Last Action Hero                                               | --
 x | film  | 1993 | Mrs. Doubtfire                                                 | --
 x | film  | 1993 | Super Mario Bros.                                              | ♥
 x | film  | 1993 | The Nightmare Before Christmas                                 | --
 x | film  | 1993 | The Sandlot                                                    | --
 x | film  | 1993 | The Wrong Trousers                                             | --
 x | film  | 1994 | D2: The Mighty Ducks                                           | --
 x | film  | 1994 | Fist of Legend                                                 | --
 x | film  | 1994 | Godzilla vs. SpaceGodzilla                                     | --
 x | film  | 1994 | Léon: The Professional                                         | --
